Teams,Format,Round,BYE,Room 1,Room 2,Room 3,Room 4,Room 5,Room 6
2,"One-game playoff (1 game, 1 round)",1,,1 v 2,,,,,
3,"RR (2 games, 3 rounds)",1,1,2 v 3,,,,,
3,"RR (2 games, 3 rounds)",2,2,1 v 3,,,,,
3,"RR (2 games, 3 rounds)",3,3,1 v 2,,,,,
3,"Double RR (4 games, 6 rounds)",1,1,2 v 3,,,,,
3,"Double RR (4 games, 6 rounds)",2,2,1 v 3,,,,,
3,"Double RR (4 games, 6 rounds)",3,3,1 v 2,,,,,
3,"Double RR (4 games, 6 rounds)",4,1,2 v 3,,,,,
3,"Double RR (4 games, 6 rounds)",5,2,1 v 3,,,,,
3,"Double RR (4 games, 6 rounds)",6,3,1 v 2,,,,,
4,"RR (3 games, 3 rounds)",1,,1 v 4,2 v 3,,,,
4,"RR (3 games, 3 rounds)",2,,2 v 4,1 v 3,,,,
4,"RR (3 games, 3 rounds)",3,,1 v 2,3 v 4,,,,
4,"Double RR (6 games, 6 rounds)",1,,1 v 4,2 v 3,,,,
4,"Double RR (6 games, 6 rounds)",2,,2 v 4,1 v 3,,,,
4,"Double RR (6 games, 6 rounds)",3,,1 v 2,3 v 4,,,,
4,"Double RR (6 games, 6 rounds)",4,,2 v 3,1 v 4,,,,
4,"Double RR (6 games, 6 rounds)",5,,1 v 3,2 v 4,,,,
4,"Double RR (6 games, 6 rounds)",6,,3 v 4,1 v 2,,,,
4,"Triple RR (9 games, 9 rounds)",1,,1 v 4,2 v 3,,,,
4,"Triple RR (9 games, 9 rounds)",2,,2 v 4,1 v 3,,,,
4,"Triple RR (9 games, 9 rounds)",3,,1 v 2,3 v 4,,,,
4,"Triple RR (9 games, 9 rounds)",4,,2 v 3,1 v 4,,,,
4,"Triple RR (9 games, 9 rounds)",5,,1 v 3,2 v 4,,,,
4,"Triple RR (9 games, 9 rounds)",6,,3 v 4,1 v 2,,,,
4,"Triple RR (9 games, 9 rounds)",7,,1 v 4,2 v 3,,,,
4,"Triple RR (9 games, 9 rounds)",8,,2 v 4,1 v 3,,,,
4,"Triple RR (9 games, 9 rounds)",9,,1 v 2,3 v 4,,,,
4,"Quadruple RR (12 games, 12 rounds)",1,,1 v 4,2 v 3,,,,
4,"Quadruple RR (12 games, 12 rounds)",2,,2 v 4,1 v 3,,,,
4,"Quadruple RR (12 games, 12 rounds)",3,,1 v 2,3 v 4,,,,
4,"Quadruple RR (12 games, 12 rounds)",4,,2 v 3,1 v 4,,,,
4,"Quadruple RR (12 games, 12 rounds)",5,,1 v 3,2 v 4,,,,
4,"Quadruple RR (12 games, 12 rounds)",6,,3 v 4,1 v 2,,,,
4,"Quadruple RR (12 games, 12 rounds)",7,,1 v 4,2 v 3,,,,
4,"Quadruple RR (12 games, 12 rounds)",8,,2 v 4,1 v 3,,,,
4,"Quadruple RR (12 games, 12 rounds)",9,,1 v 2,3 v 4,,,,
4,"Quadruple RR (12 games, 12 rounds)",10,,2 v 3,1 v 4,,,,
4,"Quadruple RR (12 games, 12 rounds)",11,,1 v 3,2 v 4,,,,
4,"Quadruple RR (12 games, 12 rounds)",12,,3 v 4,1 v 2,,,,
5,"RR (4 games, 5 rounds)",1,5,1 v 4,2 v 3,,,,
5,"RR (4 games, 5 rounds)",2,4,3 v 5,1 v 2,,,,
5,"RR (4 games, 5 rounds)",3,3,2 v 4,1 v 5,,,,
5,"RR (4 games, 5 rounds)",4,2,1 v 3,4 v 5,,,,
5,"RR (4 games, 5 rounds)",5,1,2 v 5,3 v 4,,,,
5,"Double RR (8 games, 10 rounds)",1,5,1 v 4,2 v 3,,,,
5,"Double RR (8 games, 10 rounds)",2,4,3 v 5,1 v 2,,,,
